id,sales_volume,rating
1,7458,3.3
2,5909,4.6
3,5296,2.8
4,9416,4.2
5,3961,4.4
6,9770,4.3
7,9010,4.4
8,7151,2.9
9,1727,2.3
10,7132,2.2
11,8410,1.2
12,7879,3.8
13,5846,2.2
14,5241,3.2
15,7218,3.1
16,7294,3.7
17,2961,3.1
18,6675,2.3
19,8866,3.7
20,1755,4.7
21,9041,3.0
22,3979,1.0
23,2927,4.9
24,9031,4.2
25,3892,1.6
26,7018,4.3
27,4568,1.2
28,3356,2.4
29,5374,2.9
30,3145,2.9
31,4266,1.9
32,4867,1.8
33,9295,3.3
34,33,2.1
35,704,2.4
36,8951,1.9
37,9297,3.0
38,1879,1.9
39,6513,2.8
40,4930,3.4
41,3323,1.5
42,7605,1.8
43,2126,3.6
44,5001,1.5
45,9817,4.2
46,2062,3.6
47,7882,3.4
48,7836,1.2
49,5465,2.4
50,922,4.4
51,7570,2.0
52,5912,1.1
53,6190,3.5
54,7089,4.5
55,2445,3.5
56,3331,4.6
57,8463,4.1
58,3018,4.6
59,7141,3.7
60,6081,2.4
61,2849,3.1
62,6760,1.6
63,9614,4.7
64,9679,1.4
65,2181,2.1
66,8153,4.1
67,5187,4.8
68,2703,1.2
69,9882,3.8
70,8185,2.5
71,3270,3.0
72,8928,4.6
73,5758,4.9
74,9385,1.0
75,4654,2.9
76,3949,2.4
77,9600,4.8
78,7320,4.1
79,3872,1.9
80,6771,3.1
81,4004,3.3
82,2552,4.9
83,6314,1.5
84,4478,4.6
85,4331,1.5
86,7080,3.6
87,9511,4.5
88,2705,2.1
89,4376,2.0
90,2773,1.6
91,2922,1.3
92,8276,3.6
93,8946,2.4
94,8205,1.6
95,3833,3.0
96,702,2.0
97,6543,3.5
98,8409,1.3
99,5202,2.4
100,7831,1.6
101,5433,3.3
102,738,2.6
103,3719,3.7
104,3748,1.4
105,455,3.3
106,7117,4.6
107,4508,3.2
108,9057,2.1
109,4570,1.1
110,2413,1.1
111,9067,1.2
112,6195,3.9
113,7967,4.7
114,9421,4.1
115,2459,4.4
116,4161,4.0
117,4325,2.8
118,4617,1.5
119,8154,1.8
120,6256,1.5
121,4134,2.6
122,7029,4.7
123,3671,4.2
124,2268,3.5
125,912,2.3
126,2100,2.9
127,9428,4.6
128,8778,3.4
129,5753,2.9
130,9406,2.1
131,3658,4.8
132,51,2.3
133,6918,4.8
134,91,2.1
135,2570,1.7
136,4212,4.7
137,5706,2.3
138,8468,3.1
139,402,4.2
140,7129,3.9
141,7239,3.8
142,4390,3.9
143,5118,1.3
144,8140,3.0
145,7470,4.9
146,5824,4.5
147,9733,4.0
148,884,2.8
149,5720,4.5
150,3017,3.0
151,5497,4.6
152,6197,3.8
153,8716,5.0
154,186,1.8
155,7817,4.2
156,4984,4.0
157,6234,4.6
158,1662,3.7
159,8075,1.5
160,7570,2.6
161,1110,4.4
162,6004,3.0
163,6102,3.3
164,4793,4.6
165,9849,4.8
166,3664,3.4
167,1538,4.7
168,5018,3.5
169,8570,4.5
170,7267,1.6
171,1931,5.0
172,4840,3.1
173,5528,2.9
174,5130,2.6
175,5394,4.1
176,7750,3.8
177,3487,2.9
178,1923,2.3
179,8605,1.3
180,1910,2.7
181,5730,2.8
182,6538,2.2
183,9518,3.7
